file,class,method,variable,usage
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,apply/1[jadx.core.dex.visitors.usage.IUsageInfoData],LOG,2
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,init/1[jadx.core.dex.visitors.usage.RootNode],LOG,1
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\invoke\TestCastInOverloadedInvoke.java,jadx.tests.integration.invoke.TestCastInOverloadedInvoke$TestCls,check/0,c,5
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\invoke\TestCastInOverloadedInvoke.java,jadx.tests.integration.invoke.TestCastInOverloadedInvoke$TestCls,call/1[java.util.ArrayList<java.lang.String>],c,1
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\invoke\TestCastInOverloadedInvoke.java,jadx.tests.integration.invoke.TestCastInOverloadedInvoke$TestCls,call/1[java.util.List<java.lang.String>],c,1
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\invoke\TestCastInOverloadedInvoke.java,jadx.tests.integration.invoke.TestCastInOverloadedInvoke$TestCls,call/1[java.lang.String],c,1
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\GenericTypesVisitor.java,jadx.core.dex.visitors.GenericTypesVisitor,"attachGenericTypesInfo/2[jadx.core.dex.nodes.MethodNode,jadx.core.dex.instructions.mods.ConstructorInsn]",LOG,1
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\rename\CodeRenameVisitor.java,jadx.core.dex.visitors.rename.CodeRenameVisitor,updateRenamesMap/1[jadx.core.dex.visitors.rename.ICodeData],clsRenamesMap,2
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\rename\CodeRenameVisitor.java,jadx.core.dex.visitors.rename.CodeRenameVisitor,"processRename/3[jadx.core.dex.visitors.rename.MethodNode,jadx.core.dex.visitors.rename.IJavaCodeRef,jadx.core.dex.visitors.rename.ICodeRename]",LOG,3
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\rename\CodeRenameVisitor.java,jadx.core.dex.visitors.rename.CodeRenameVisitor,getRenames/1[jadx.core.dex.visitors.rename.ClassNode],clsRenamesMap,2
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\rename\CodeRenameVisitor.java,jadx.core.dex.visitors.rename.CodeRenameVisitor,"applyRenames/2[jadx.core.dex.visitors.rename.ClassNode,java.util.List<jadx.core.dex.visitors.rename.ICodeRename>]",LOG,1
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\logs\LogEvent.java,jadx.gui.logs.LogEvent,toString/0,msg,1
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\logs\LogEvent.java,jadx.gui.logs.LogEvent,toString/0,level,1
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\logs\LogEvent.java,jadx.gui.logs.LogEvent,toString/0,loggerName,1
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\logs\LogEvent.java,jadx.gui.logs.LogEvent,"LogEvent/3[jadx.gui.logs.Level,java.lang.String,java.lang.String]",msg,3
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\logs\LogEvent.java,jadx.gui.logs.LogEvent,"LogEvent/3[jadx.gui.logs.Level,java.lang.String,java.lang.String]",level,3
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\logs\LogEvent.java,jadx.gui.logs.LogEvent,"LogEvent/3[jadx.gui.logs.Level,java.lang.String,java.lang.String]",loggerName,3
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\logs\LogEvent.java,jadx.gui.logs.LogEvent,getMsg/0,msg,1
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\logs\LogEvent.java,jadx.gui.logs.LogEvent,getLevel/0,level,1
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\logs\LogEvent.java,jadx.gui.logs.LogEvent,getLoggerName/0,loggerName,1
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\variables\TestVariablesIfElseChain.java,jadx.tests.integration.variables.TestVariablesIfElseChain$TestCls,use/1[java.lang.String],used,1
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\variables\TestVariablesIfElseChain.java,jadx.tests.integration.variables.TestVariablesIfElseChain$TestCls,check/0,used,3
