file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\others\TestFieldInit2.java,jadx.tests.integration.others.TestFieldInit2$TestCls$Anonymous1,doSomething/0,false,22,0,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,false
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"replaceMethodUsage/2[jadx.core.dex.visitors.usage.MethodNode,jadx.core.dex.visitors.usage.MethodNode]",false,172,2,1,0,1,1,5,6,0,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,9,0,false
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,apply/1[jadx.core.dex.visitors.usage.IUsageInfoData],false,60,1,1,1,0,2,4,7,0,1,1,4,0,0,0,0,0,0,1,0,1,1,1,0,0,0,9,10,1,false
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processMethod/2[jadx.core.dex.visitors.usage.MethodNode,jadx.core.dex.visitors.usage.UsageInfo]",false,90,4,3,1,2,3,7,13,0,1,2,7,1,1,1,0,1,0,1,0,1,0,1,0,0,0,14,10,0,false
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processInsn/4[jadx.core.dex.visitors.usage.RootNode,jadx.core.dex.visitors.usage.MethodNode,jadx.core.dex.visitors.usage.InsnData,jadx.core.dex.visitors.usage.UsageInfo]",false,121,11,5,0,5,11,17,50,1,9,4,17,0,0,0,6,0,1,0,1,10,0,3,0,0,0,26,10,0,false
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processClass/2[jadx.core.dex.visitors.usage.ClassNode,jadx.core.dex.visitors.usage.UsageInfo]",false,76,3,3,1,2,4,7,12,0,0,2,7,1,2,3,0,0,0,0,0,0,0,1,0,0,0,12,10,0,false
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,getName/0,false,180,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,init/1[jadx.core.dex.visitors.usage.RootNode],false,44,4,2,0,2,3,7,16,1,3,1,7,2,4,0,1,1,0,1,0,3,0,2,0,0,0,18,1,1,false
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,buildUsageData/1[jadx.core.dex.visitors.usage.RootNode],false,68,4,3,1,2,2,2,7,1,1,1,2,1,3,1,0,0,0,0,0,1,0,1,0,0,0,12,10,0,false
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,"processInstructions/2[jadx.core.dex.visitors.usage.MethodNode,jadx.core.dex.visitors.usage.UsageInfo]",false,103,4,1,1,0,4,6,19,2,3,2,6,0,0,0,1,1,0,1,0,2,1,2,0,0,1,21,10,0,false
